U:\Documents\Victor's WIP\Bit Heads - WIP\2268\2268.dwg,Layout1,4/15/2021 11:42:18 AM,victor.rodriguez,Adobe PDF,Tabloid,1:1,
K:\Engineering\01_Designs\2268\2268 LO.dwg,Model,8/19/2022 2:36:54 PM,will.nguyen,TOSHIBA e-STUDIO3555C-11371965,Ledger (11 x 17"),1:0.43272,
\\cot-dc01.cot-i.com\CapRockDocuments\Engineering\01_Designs\2268\2268 @ 0.25 IPR.dwg,Model,8/19/2022 2:37:12 PM,will.nguyen,TOSHIBA e-STUDIO3555C-11371965,Ledger (11 x 17"),1:0.360823,
\\cot-dc01.cot-i.com\CapRockDocuments\Engineering\01_Designs\2250\2250.dwg,Model,8/19/2022 2:44:46 PM,will.nguyen,TOSHIBA e-STUDIO3555C-11371965,Ledger (11 x 17"),1:0.434065,
\\cot-dc01.cot-i.com\CapRockDocuments\Engineering\01_Designs\2250\2250 @ 0.25 IPR.dwg,Model,8/19/2022 2:45:10 PM,will.nguyen,TOSHIBA e-STUDIO3555C-11371965,Ledger (11 x 17"),1:0.35172,
\\cot-dc01.cot-i.com\CapRockDocuments\Engineering\01_Designs\2240\2240.dwg,Model,8/19/2022 3:10:34 PM,will.nguyen,TOSHIBA e-STUDIO3555C-11371965,Ledger (11 x 17"),1:0.449,
\\cot-dc01.cot-i.com\CapRockDocuments\Engineering\01_Designs\2240\2240 @ 0.25 IPR.dwg,Model,8/19/2022 3:10:48 PM,will.nguyen,TOSHIBA e-STUDIO3555C-11371965,Ledger (11 x 17"),1:0.369314,
\\cot-dc01.cot-i.com\CapRockDocuments\Engineering\01_Designs\2207\2207.dwg,Model,8/19/2022 3:38:17 PM,will.nguyen,TOSHIBA e-STUDIO3555C-11371965,Ledger (11 x 17"),1:0.439133,
\\cot-dc01.cot-i.com\CapRockDocuments\Engineering\01_Designs\2207\2207 @ 0.25 IPR.dwg,Model,8/19/2022 3:38:39 PM,will.nguyen,TOSHIBA e-STUDIO3555C-11371965,Ledger (11 x 17"),1:0.360095,
\\cot-dc01.cot-i.com\CapRockDocuments\Engineering\01_Designs\2181\2181.dwg,Model,8/19/2022 3:43:51 PM,will.nguyen,TOSHIBA e-STUDIO3555C-11371965,Ledger (11 x 17"),1:0.83395,
\\cot-dc01.cot-i.com\CapRockDocuments\Engineering\01_Designs\2181\2181 @ 0.25 IPR.dwg,Model,8/19/2022 3:44:12 PM,will.nguyen,TOSHIBA e-STUDIO3555C-11371965,Ledger (11 x 17"),1:0.759755,
\\cot-dc01.cot-i.com\CapRockDocuments\Engineering\01_Designs\2176\2176 LO.dwg,Model,8/19/2022 3:48:18 PM,will.nguyen,TOSHIBA e-STUDIO3555C-11371965,Ledger (11 x 17"),1:0.432576,
\\cot-dc01.cot-i.com\CapRockDocuments\Engineering\01_Designs\2176\2176 @ 0.25 IPR.dwg,Model,8/19/2022 3:48:30 PM,will.nguyen,TOSHIBA e-STUDIO3555C-11371965,Ledger (11 x 17"),1:0.546878,
K:\Engineering\01_Designs\2268\2268 LO.dwg,Model,3/21/2023 11:11:29 AM,will.nguyen,TOSHIBA e-STUDIO3555C-11371965,Ledger (11 x 17"),1:0.432733,
K:\Engineering\01_Designs\2268\2268 @ 0.25 IPR.dwg,Model,3/21/2023 11:11:56 AM,will.nguyen,TOSHIBA e-STUDIO3555C-11371965,Ledger (11 x 17"),1:0.559976,
K:\Engineering\01_Designs\2268\2268 @ 0.25 IPR.dwg,Model,3/21/2023 11:12:09 AM,will.nguyen,TOSHIBA e-STUDIO3555C-11371965,Ledger (11 x 17"),1:0.360823,
