Hole Depth (feet),Bit Depth (feet),Rate Of Penetration (ft_per_hr),Weight on Bit (klbs),Rotary RPM (RPM),Standpipe Pressure (psi),Total Pump Output (gal_per_min),Differential Pressure (psi),Convertible Torque (kft_lb),Inclination (degrees),Azimuth (degrees),Gamma at Bit (api),Hook Load (klbs),Block Height (feet),Magnetic Toolface (degrees),Gravity Toolface (degrees),Rig Super State (unitless),Rig Sub State (unitless),RSS STEERING % (percent),RSS PRG STEERING % (percent),AutoDriller WOB SP (klbs),AutoDriller Diff Press SP (psi),AutoDriller On Bottom ROP Setpoint (ft_per_hr),YYYY/MM/DD,HH:MM:SS
1377,1377,133.59,0.2,30.28,1466,631.9,84.57,2.539,91.18,165.83,52.69,131.9,15.4,113.49,163.13,1,1,6,0,10,500,375,9/14/2024,5:23:52
1378,1378,303.35,0.2,30.28,1449.75,633.23,72.9,1.681,91.18,165.83,47.68,131.4,14.1,113.49,174.38,1,1,6,0,10,500,375,9/14/2024,5:24:01
1379,1379,375.98,-0.1,30.19,1431,632.56,81.9,1.681,91.18,165.83,47.68,131.8,13.2,113.49,174.38,1,1,6,0,10,500,375,9/14/2024,5:24:11
1380,1380,375.8,0.3,30.37,1454.76,632.57,82.23,2.017,91.18,165.83,53.32,131.5,12.2,113.49,157.5,1,1,6,0,10,500,375,9/14/2024,5:24:20
1381,1381,375.32,0.5,30.28,1432.25,632.57,82.32,2.017,91.18,165.83,53.32,130.7,11.2,113.49,157.5,1,1,6,0,10,500,375,9/14/2024,5:24:30
1382,1382,375.31,0.4,30.54,1443.5,631.9,83.68,1.942,91.18,165.83,53.32,130.7,10.2,113.49,157.5,1,1,6,0,10,500,375,9/14/2024,5:24:39
1383,1383,376.28,14.9,30.34,1686.01,632.56,345.35,6.946,91.18,165.83,58.34,130.2,9.2,113.49,163.13,1,1,6,0,10,500,375,9/14/2024,5:24:54
1384,1384,349.98,22.2,30.54,1839.75,632.57,472.24,10.643,91.18,165.83,54.58,117.5,8.2,113.49,180,1,1,6,0,25,1000,375,9/14/2024,5:25:19
1385,1385,206.38,25.2,30.48,1931.01,632.57,577.72,10.643,91.18,165.83,54.58,107.8,7.2,113.49,180,1,1,6,0,25,1000,375,9/14/2024,5:25:34
1386,1386,236.18,28.3,30.57,1966,631.9,618.41,11.913,91.18,165.83,50.19,104.8,6.2,113.49,180,1,1,6,0,28,1000,375,9/14/2024,5:25:49
